approval_action,usage_type,wp_post_type,wp_post_id,wp_slug,wp_title,old_wp_url,canonical_url,target_node_url,filename,migration_note
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-430x430.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-430x430.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-150x150.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-150x150.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-700x700.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-700x700.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-300x300.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-300x300.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-800x800.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-800x800.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-768x768.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-768x768.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-860x860.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver-860x860.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-silver.jpg,/media/wordpress-migration/2021/07/classic-157-marble-silver.jpg,classic-157-marble-silver.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,17144,all-brass-products,All Brass Products,https://coveinterior.com/wp-content/uploads/2022/07/classic-225-gray-gold-1-430x430.jpg,https://coveinterior.com/wp-content/uploads/2022/07/classic-225-gray-gold-1.jpg,/media/wordpress-migration/2022/07/classic-225-gray-gold-1.jpg,classic-225-gray-gold-1.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
rewrite_embedded_media_url,page_embedded_media_url,page,11103,coffee-consoles,Coffee consoles,https://coveinterior.com/wp-content/uploads/2022/07/classic-225-gray-gold-1-430x430.jpg,https://coveinterior.com/wp-content/uploads/2022/07/classic-225-gray-gold-1.jpg,/media/wordpress-migration/2022/07/classic-225-gray-gold-1.jpg,classic-225-gray-gold-1.jpg,content structure rewrite requires separate portfolio/page implementation approval; file import is approved independently
